Streaming output truncated to the last 5000 lines.
step 500: train loss 2.4262, val loss 2.4279
saving checkpoint to out/block_size128_n_layer6_n_head8_n_embd128_batch_size8_max_iters2000_dropout0.2
iter 500: loss 2.4267, time 414.19ms, mfu 0.14%
iter 825: loss 2.4159, time 16.02ms, mfu 0.16%
iter 830: loss 2.4025, time 15.47ms, mfu 0.16%
iter 835: loss 2.3213, time 15.97ms, mfu 0.16%
iter 840: loss 2.3666, time 16.08ms, mfu 0.16%
iter 845: loss 2.4496, time 20.82ms, mfu 0.16%
iter 850: loss 2.3308, time 16.75ms, mfu 0.16%
iter 855: loss 2.3982, time 16.21ms, mfu 0.16%
iter 860: loss 2.3522, time 16.11ms, mfu 0.16%
iter 865: loss 2.3502, time 16.53ms, mfu 0.16%
iter 870: loss 2.3830, time 15.64ms, mfu 0.16%
iter 875: loss 2.4150, time 17.04ms, mfu 0.16%
iter 880: loss 2.3671, time 19.30ms, mfu 0.16%
iter 885: loss 2.3690, time 18.27ms, mfu 0.16%
iter 890: loss 2.3394, time 15.78ms, mfu 0.16%
iter 895: loss 2.4078, time 15.67ms, mfu 0.16%
iter 900: loss 2.3615, time 17.43ms, mfu 0.16%
iter 905: loss 2.3558, time 16.44ms, mfu 0.16%
iter 910: loss 2.3150, time 15.36ms, mfu 0.16%
iter 915: loss 2.3920, time 16.92ms, mfu 0.16%
iter 920: loss 2.3732, time 27.34ms, mfu 0.16%
iter 925: loss 2.2988, time 23.80ms, mfu 0.15%
iter 930: loss 2.4029, time 18.30ms, mfu 0.15%
iter 935: loss 2.2801, time 16.17ms, mfu 0.15%
iter 940: loss 2.4287, time 16.36ms, mfu 0.16%
iter 945: loss 2.2941, time 15.93ms, mfu 0.16%
iter 950: loss 2.3448, time 16.00ms, mfu 0.16%
iter 955: loss 2.3958, time 15.52ms, mfu 0.16%
iter 960: loss 2.3278, time 17.70ms, mfu 0.16%
iter 965: loss 2.3511, time 16.56ms, mfu 0.16%
iter 970: loss 2.3774, time 16.12ms, mfu 0.16%
iter 975: loss 2.3830, time 18.24ms, mfu 0.16%
iter 980: loss 2.3447, time 19.88ms, mfu 0.16%
iter 985: loss 2.2963, time 17.10ms, mfu 0.16%
iter 990: loss 2.2900, time 17.95ms, mfu 0.16%
iter 995: loss 2.3607, time 16.46ms, mfu 0.16%
step 1000: train loss 2.2817, val loss 2.2799
saving checkpoint to out/block_size128_n_layer6_n_head8_n_embd128_batch_size8_max_iters2000_dropout0.2
iter 1000: loss 2.2479, time 299.41ms, mfu 0.14%
iter 1005: loss 2.2843, time 15.73ms, mfu 0.15%
iter 1010: loss 2.3483, time 15.90ms, mfu 0.15%
iter 1015: loss 2.3544, time 16.25ms, mfu 0.15%
iter 1020: loss 2.3317, time 15.90ms, mfu 0.15%
iter 1025: loss 2.3619, time 15.94ms, mfu 0.15%
iter 1030: loss 2.3658, time 19.49ms, mfu 0.15%
iter 1035: loss 2.3206, time 15.66ms, mfu 0.16%
iter 1040: loss 2.3345, time 15.60ms, mfu 0.16%
iter 1045: loss 2.4274, time 15.72ms, mfu 0.16%
iter 1050: loss 2.3429, time 15.63ms, mfu 0.16%
iter 1055: loss 2.3234, time 15.84ms, mfu 0.16%
iter 1060: loss 2.3076, time 19.07ms, mfu 0.16%
iter 1065: loss 2.3189, time 16.26ms, mfu 0.16%
iter 1070: loss 2.3626, time 16.30ms, mfu 0.16%
iter 1075: loss 2.3336, time 15.81ms, mfu 0.16%
iter 1080: loss 2.3629, time 15.67ms, mfu 0.16%
iter 1085: loss 2.3746, time 22.59ms, mfu 0.16%
iter 1090: loss 2.3143, time 16.42ms, mfu 0.16%
iter 1095: loss 2.4200, time 17.07ms, mfu 0.16%
iter 1100: loss 2.2953, time 16.13ms, mfu 0.16%
iter 1105: loss 2.2858, time 16.81ms, mfu 0.16%
iter 1110: loss 2.3304, time 15.50ms, mfu 0.16%
iter 1115: loss 2.3188, time 15.72ms, mfu 0.16%
iter 1120: loss 2.3381, time 15.83ms, mfu 0.16%
iter 1125: loss 2.3666, time 16.32ms, mfu 0.16%
iter 1130: loss 2.4054, time 16.07ms, mfu 0.17%
iter 1135: loss 2.2991, time 18.78ms, mfu 0.16%
iter 1140: loss 2.3161, time 15.15ms, mfu 0.17%
iter 1145: loss 2.4057, time 23.40ms, mfu 0.16%
iter 1150: loss 2.3177, time 28.07ms, mfu 0.15%
iter 1155: loss 2.3648, time 24.27ms, mfu 0.15%
iter 1160: loss 2.3077, time 29.24ms, mfu 0.14%
iter 1165: loss 2.4103, time 21.39ms, mfu 0.14%
iter 1170: loss 2.3873, time 23.15ms, mfu 0.14%
iter 1175: loss 2.3152, time 22.26ms, mfu 0.14%
iter 1180: loss 2.3218, time 21.58ms, mfu 0.14%
iter 1185: loss 2.3115, time 30.89ms, mfu 0.13%
iter 1190: loss 2.3123, time 24.51ms, mfu 0.13%
iter 1195: loss 2.3383, time 21.40ms, mfu 0.13%
iter 1200: loss 2.2980, time 20.81ms, mfu 0.13%
iter 1205: loss 2.2862, time 23.87ms, mfu 0.13%
iter 1210: loss 2.3378, time 19.82ms, mfu 0.13%
iter 1215: loss 2.3020, time 20.19ms, mfu 0.13%
iter 1220: loss 2.3053, time 23.54ms, mfu 0.13%
iter 1225: loss 2.3026, time 24.44ms, mfu 0.13%
iter 1230: loss 2.2749, time 32.66ms, mfu 0.12%
iter 1235: loss 2.3441, time 20.01ms, mfu 0.12%
iter 1240: loss 2.3295, time 24.56ms, mfu 0.12%
iter 1245: loss 2.3479, time 20.56ms, mfu 0.12%
step 1250: train loss 2.2578, val loss 2.2913
iter 1250: loss 2.2721, time 391.56ms, mfu 0.11%
iter 1255: loss 2.3754, time 26.37ms, mfu 0.11%
iter 1260: loss 2.3425, time 34.62ms, mfu 0.11%
iter 1265: loss 2.3167, time 26.23ms, mfu 0.11%
iter 1270: loss 2.3630, time 18.66ms, mfu 0.11%
iter 1275: loss 2.2783, time 17.31ms, mfu 0.12%
iter 1280: loss 2.2699, time 19.94ms, mfu 0.12%
iter 1285: loss 2.2844, time 16.29ms, mfu 0.12%
iter 1290: loss 2.2786, time 16.33ms, mfu 0.13%
iter 1295: loss 2.4094, time 15.97ms, mfu 0.13%
iter 1300: loss 2.3286, time 16.34ms, mfu 0.14%
iter 1305: loss 2.3564, time 15.66ms, mfu 0.14%
iter 1310: loss 2.3435, time 16.15ms, mfu 0.14%
iter 1315: loss 2.3312, time 24.16ms, mfu 0.14%
iter 1320: loss 2.2942, time 19.16ms, mfu 0.14%
iter 1325: loss 2.3501, time 31.32ms, mfu 0.13%
iter 1330: loss 2.3856, time 20.94ms, mfu 0.13%
iter 1335: loss 2.3411, time 43.81ms, mfu 0.13%
iter 1340: loss 2.3993, time 16.16ms, mfu 0.13%
iter 1345: loss 2.3226, time 16.56ms, mfu 0.13%
iter 1350: loss 2.3117, time 16.82ms, mfu 0.14%
iter 1355: loss 2.3345, time 17.45ms, mfu 0.14%
iter 1360: loss 2.3505, time 37.82ms, mfu 0.13%
iter 1365: loss 2.3368, time 16.74ms, mfu 0.14%
iter 1370: loss 2.3155, time 17.42ms, mfu 0.14%
iter 1375: loss 2.3193, time 16.37ms, mfu 0.14%
iter 1380: loss 2.2559, time 19.42ms, mfu 0.14%
iter 1385: loss 2.4039, time 15.99ms, mfu 0.14%
iter 1390: loss 2.2756, time 16.20ms, mfu 0.15%
iter 1395: loss 2.2537, time 19.57ms, mfu 0.15%
iter 1400: loss 2.3367, time 16.32ms, mfu 0.15%
iter 1405: loss 2.3754, time 16.18ms, mfu 0.15%
iter 1410: loss 2.3285, time 16.29ms, mfu 0.15%
iter 1415: loss 2.3374, time 16.06ms, mfu 0.15%
iter 1420: loss 2.2293, time 32.38ms, mfu 0.15%
iter 1425: loss 2.3281, time 15.96ms, mfu 0.15%
iter 1430: loss 2.2912, time 15.76ms, mfu 0.15%
iter 1435: loss 2.3027, time 21.38ms, mfu 0.15%
iter 1440: loss 2.3430, time 16.75ms, mfu 0.15%
iter 1445: loss 2.2939, time 17.87ms, mfu 0.15%
iter 1450: loss 2.3176, time 16.52ms, mfu 0.15%
iter 1455: loss 2.2888, time 16.24ms, mfu 0.15%
iter 1460: loss 2.2757, time 16.19ms, mfu 0.16%
iter 1465: loss 2.3622, time 16.33ms, mfu 0.16%
iter 1470: loss 2.4453, time 17.12ms, mfu 0.16%
iter 1475: loss 2.3411, time 19.15ms, mfu 0.16%
iter 1480: loss 2.3311, time 16.54ms, mfu 0.16%
iter 1485: loss 2.3783, time 16.68ms, mfu 0.16%
iter 1490: loss 2.3234, time 17.32ms, mfu 0.16%
iter 1495: loss 2.2848, time 16.19ms, mfu 0.16%
step 1500: train loss 2.2436, val loss 2.2563
saving checkpoint to out/block_size128_n_layer6_n_head8_n_embd128_batch_size8_max_iters2000_dropout0.2
iter 1500: loss 2.3158, time 299.57ms, mfu 0.14%
iter 1505: loss 2.2941, time 16.29ms, mfu 0.15%
iter 1510: loss 2.2896, time 20.78ms, mfu 0.14%
iter 1515: loss 2.3023, time 16.26ms, mfu 0.15%
iter 1520: loss 2.3607, time 20.87ms, mfu 0.15%
iter 1525: loss 2.3122, time 18.09ms, mfu 0.15%
iter 1530: loss 2.3335, time 16.21ms, mfu 0.15%
iter 1535: loss 2.2562, time 15.75ms, mfu 0.15%
iter 1540: loss 2.2332, time 16.28ms, mfu 0.15%
iter 1545: loss 2.2547, time 16.77ms, mfu 0.15%
iter 1550: loss 2.3217, time 16.37ms, mfu 0.15%
iter 1555: loss 2.3011, time 17.36ms, mfu 0.15%
iter 1560: loss 2.2671, time 16.08ms, mfu 0.16%
iter 1565: loss 2.2825, time 16.14ms, mfu 0.16%
iter 1570: loss 2.3606, time 15.76ms, mfu 0.16%
iter 1575: loss 2.3164, time 16.47ms, mfu 0.16%
iter 1580: loss 2.2440, time 33.37ms, mfu 0.15%
iter 1585: loss 2.2924, time 16.43ms, mfu 0.15%
iter 1590: loss 2.2649, time 16.01ms, mfu 0.16%
iter 1595: loss 2.3450, time 16.07ms, mfu 0.16%
iter 1600: loss 2.3726, time 16.61ms, mfu 0.16%
iter 1605: loss 2.3066, time 16.19ms, mfu 0.16%
iter 1610: loss 2.3156, time 16.16ms, mfu 0.16%
iter 1615: loss 2.3065, time 16.98ms, mfu 0.16%
iter 1620: loss 2.3045, time 17.67ms, mfu 0.16%
iter 1625: loss 2.3178, time 21.80ms, mfu 0.16%
iter 1630: loss 2.2786, time 15.85ms, mfu 0.16%
iter 1635: loss 2.2739, time 15.67ms, mfu 0.16%
iter 1640: loss 2.3926, time 16.31ms, mfu 0.16%
iter 1645: loss 2.3343, time 16.83ms, mfu 0.16%
iter 1650: loss 2.2930, time 15.75ms, mfu 0.16%
iter 1655: loss 2.2522, time 16.88ms, mfu 0.16%
iter 1660: loss 2.1711, time 16.40ms, mfu 0.16%
iter 1665: loss 2.4072, time 16.29ms, mfu 0.16%
iter 1670: loss 2.2786, time 16.84ms, mfu 0.16%
iter 1675: loss 2.3770, time 19.39ms, mfu 0.16%
iter 1680: loss 2.2527, time 20.76ms, mfu 0.16%
iter 1685: loss 2.3383, time 15.91ms, mfu 0.16%
iter 1690: loss 2.2769, time 17.39ms, mfu 0.16%
iter 1695: loss 2.3284, time 16.43ms, mfu 0.16%
iter 1700: loss 2.2856, time 15.95ms, mfu 0.16%
iter 1705: loss 2.2413, time 21.83ms, mfu 0.16%
iter 1710: loss 2.2573, time 16.29ms, mfu 0.16%
iter 1715: loss 2.3530, time 17.02ms, mfu 0.16%
iter 1720: loss 2.2132, time 16.90ms, mfu 0.16%
iter 1725: loss 2.2798, time 15.78ms, mfu 0.16%
iter 1730: loss 2.2082, time 16.64ms, mfu 0.16%
iter 1735: loss 2.2507, time 15.48ms, mfu 0.16%
iter 1740: loss 2.3174, time 23.48ms, mfu 0.16%
iter 1745: loss 2.3160, time 16.32ms, mfu 0.16%
step 1750: train loss 2.2457, val loss 2.2548
saving checkpoint to out/block_size128_n_layer6_n_head8_n_embd128_batch_size8_max_iters2000_dropout0.2
iter 1750: loss 2.2595, time 330.47ms, mfu 0.14%
iter 1755: loss 2.2213, time 15.75ms, mfu 0.15%
iter 1760: loss 2.3084, time 16.81ms, mfu 0.15%
iter 1765: loss 2.3314, time 15.69ms, mfu 0.15%
iter 1770: loss 2.2695, time 16.08ms, mfu 0.15%
iter 1775: loss 2.3488, time 17.13ms, mfu 0.15%
iter 1780: loss 2.2885, time 17.16ms, mfu 0.15%
iter 1785: loss 2.2284, time 19.51ms, mfu 0.15%
iter 1790: loss 2.2770, time 15.79ms, mfu 0.15%
iter 1795: loss 2.2669, time 28.48ms, mfu 0.15%
iter 1800: loss 2.2946, time 27.69ms, mfu 0.14%
iter 1805: loss 2.3147, time 20.90ms, mfu 0.14%
iter 1810: loss 2.3900, time 23.03ms, mfu 0.14%
iter 1815: loss 2.2590, time 21.77ms, mfu 0.14%
iter 1820: loss 2.2507, time 27.53ms, mfu 0.13%
iter 1825: loss 2.2811, time 20.81ms, mfu 0.13%
iter 1830: loss 2.2186, time 24.32ms, mfu 0.13%
iter 1835: loss 2.3007, time 21.87ms, mfu 0.13%
iter 1840: loss 2.2480, time 19.92ms, mfu 0.13%
iter 1845: loss 2.3796, time 25.32ms, mfu 0.13%
iter 1850: loss 2.3302, time 20.24ms, mfu 0.13%
iter 1855: loss 2.2789, time 22.85ms, mfu 0.13%
iter 1860: loss 2.2797, time 22.62ms, mfu 0.13%
iter 1865: loss 2.2881, time 29.95ms, mfu 0.12%
iter 1870: loss 2.3030, time 20.51ms, mfu 0.13%
iter 1875: loss 2.3770, time 21.65ms, mfu 0.13%
iter 1880: loss 2.2525, time 23.56ms, mfu 0.12%
iter 1885: loss 2.3443, time 23.31ms, mfu 0.12%
iter 1890: loss 2.2799, time 20.02ms, mfu 0.12%
iter 1895: loss 2.3201, time 30.39ms, mfu 0.12%
iter 1900: loss 2.2664, time 32.72ms, mfu 0.12%
iter 1905: loss 2.3324, time 25.45ms, mfu 0.12%
iter 1910: loss 2.2802, time 28.30ms, mfu 0.11%
iter 1915: loss 2.2228, time 24.80ms, mfu 0.11%
iter 1920: loss 2.2971, time 16.19ms, mfu 0.12%
iter 1925: loss 2.2647, time 15.98ms, mfu 0.12%
iter 1930: loss 2.2564, time 16.78ms, mfu 0.13%
iter 1935: loss 2.2237, time 18.52ms, mfu 0.13%
iter 1940: loss 2.3365, time 15.74ms, mfu 0.13%
iter 1945: loss 2.2436, time 15.98ms, mfu 0.14%
iter 1950: loss 2.2651, time 18.63ms, mfu 0.14%
iter 1955: loss 2.2740, time 16.54ms, mfu 0.14%
iter 1960: loss 2.2325, time 16.85ms, mfu 0.14%
iter 1965: loss 2.1784, time 15.75ms, mfu 0.15%
iter 1970: loss 2.3456, time 17.54ms, mfu 0.15%
iter 1975: loss 2.3375, time 15.73ms, mfu 0.15%
iter 1980: loss 2.2367, time 16.06ms, mfu 0.15%
iter 1985: loss 2.2061, time 17.85ms, mfu 0.15%
iter 1990: loss 2.3154, time 19.65ms, mfu 0.15%
iter 1995: loss 2.3534, time 16.30ms, mfu 0.15%
step 2000: train loss 2.2117, val loss 2.2255
saving checkpoint to out/block_size128_n_layer6_n_head8_n_embd128_batch_size8_max_iters2000_dropout0.2
iter 2000: loss 2.1835, time 304.78ms, mfu 0.14%
wandb: 
wandb: 🚀 View run run_block_size128_n_layer6_n_head8_n_embd128_batch_size8_max_iters2000_dropout0.2 at: 
wandb: Find logs at: wandb/run-20251024_005251-ii2rl3da/logs
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: compile = False
Overriding: eval_iters = 20
Overriding: log_interval = 5
Overriding: device = cuda
Overriding: lr_decay_iters = 1000
Overriding: block_size = 128
Overriding: n_layer = 6
Overriding: n_head = 8
Overriding: n_embd = 128
Overriding: batch_size = 16
Overriding: max_iters = 1000
Overriding: dropout = 0.1
Overriding: out_dir = out/block_size128_n_layer6_n_head8_n_embd128_batch_size16_max_iters1000_dropout0.1
Overriding: wandb_log = True
Overriding: wandb_project = owt
Overriding: wandb_run_name = run_block_size128_n_layer6_n_head8_n_embd128_batch_size16_max_iters1000_dropout0.1
tokens per iteration will be: 2,048
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 1.19M
/content/nanoGPT/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 26, with 1,204,352 parameters
num non-decayed parameter tensors: 13, with 1,664 parameters
using fused AdamW: True
wandb: Currently logged in as: cjackson692 (cjackson692-university-of-north-texas) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: ⢿ Waiting for wandb.init()...
wandb: ⣻ Waiting for wandb.init()...
wandb: Tracking run with wandb version 0.22.2
wandb: Run data is saved locally in /content/nanoGPT/nanoGPT/wandb/run-20251024_005339-8kxjewdd
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run run_block_size128_n_layer6_n_head8_n_embd128_batch_size16_max_iters1000_dropout0.1
wandb: ⭐️ View project at https://wandb.ai/cjackson692-university-of-north-texas/owt
wandb: 🚀 View run at https://wandb.ai/cjackson692-university-of-north-texas/owt/runs/8kxjewdd
step 0: train loss 4.1954, val loss 4.1906
iter 0: loss 4.1939, time 946.68ms, mfu -100.00%
iter 5: loss 3.9568, time 24.45ms, mfu 0.22%
iter 10: loss 3.7577, time 24.18ms, mfu 0.22%
iter 15: loss 3.6678, time 22.06ms, mfu 0.23%
iter 20: loss 3.5227, time 21.91ms, mfu 0.23%
iter 25: loss 3.3652, time 22.70ms, mfu 0.23%
iter 30: loss 3.2194, time 22.05ms, mfu 0.23%
iter 35: loss 3.1667, time 21.92ms, mfu 0.23%
iter 40: loss 3.0345, time 20.59ms, mfu 0.24%
iter 45: loss 2.9339, time 20.24ms, mfu 0.24%
iter 50: loss 2.8562, time 20.73ms, mfu 0.24%
iter 55: loss 2.7828, time 24.28ms, mfu 0.24%
iter 60: loss 2.7530, time 26.20ms, mfu 0.24%
iter 65: loss 2.7335, time 21.39ms, mfu 0.24%
iter 70: loss 2.6578, time 21.75ms, mfu 0.24%
iter 75: loss 2.6557, time 24.21ms, mfu 0.24%
iter 80: loss 2.6354, time 21.95ms, mfu 0.24%
iter 85: loss 2.6099, time 28.86ms, mfu 0.23%
iter 90: loss 2.6743, time 23.54ms, mfu 0.23%
iter 95: loss 2.6275, time 28.16ms, mfu 0.23%
iter 100: loss 2.6354, time 29.22ms, mfu 0.23%
iter 105: loss 2.6227, time 26.50ms, mfu 0.22%
iter 110: loss 2.5427, time 25.62ms, mfu 0.22%
iter 115: loss 2.6228, time 27.26ms, mfu 0.22%
iter 120: loss 2.4929, time 16.61ms, mfu 0.23%
iter 125: loss 2.5320, time 15.71ms, mfu 0.24%
iter 130: loss 2.5608, time 18.05ms, mfu 0.25%
iter 135: loss 2.5542, time 17.46ms, mfu 0.26%
iter 140: loss 2.5375, time 16.82ms, mfu 0.26%
iter 145: loss 2.5549, time 24.50ms, mfu 0.26%
iter 150: loss 2.5004, time 16.72ms, mfu 0.27%
iter 155: loss 2.5255, time 17.05ms, mfu 0.27%
iter 160: loss 2.5140, time 20.69ms, mfu 0.27%
iter 165: loss 2.5504, time 17.12ms, mfu 0.27%
iter 170: loss 2.5064, time 18.83ms, mfu 0.28%
iter 175: loss 2.5600, time 16.31ms, mfu 0.28%
iter 180: loss 2.4966, time 23.62ms, mfu 0.28%
iter 185: loss 2.4572, time 16.80ms, mfu 0.28%
iter 190: loss 2.4329, time 19.87ms, mfu 0.28%
iter 195: loss 2.4778, time 16.26ms, mfu 0.29%
iter 200: loss 2.4913, time 20.79ms, mfu 0.28%
iter 205: loss 2.5070, time 16.82ms, mfu 0.29%
iter 210: loss 2.4619, time 16.37ms, mfu 0.29%
iter 215: loss 2.4344, time 28.31ms, mfu 0.28%
iter 220: loss 2.4868, time 23.73ms, mfu 0.28%
iter 225: loss 2.4609, time 23.22ms, mfu 0.27%
iter 230: loss 2.4277, time 16.70ms, mfu 0.28%
iter 235: loss 2.4554, time 16.44ms, mfu 0.28%
iter 240: loss 2.4277, time 17.10ms, mfu 0.29%
iter 245: loss 2.4849, time 16.58ms, mfu 0.29%
step 250: train loss 2.4342, val loss 2.4260
saving checkpoint to out/block_size128_n_layer6_n_head8_n_embd128_batch_size16_max_iters1000_dropout0.1
iter 250: loss 2.4230, time 368.95ms, mfu 0.26%
iter 255: loss 2.4614, time 16.79ms, mfu 0.27%
iter 260: loss 2.4616, time 18.51ms, mfu 0.27%
iter 265: loss 2.4005, time 16.40ms, mfu 0.28%
iter 270: loss 2.4603, time 17.59ms, mfu 0.28%
iter 275: loss 2.4346, time 17.03ms, mfu 0.29%
iter 280: loss 2.4116, time 16.54ms, mfu 0.29%
iter 285: loss 2.4182, time 19.95ms, mfu 0.29%
iter 290: loss 2.4965, time 16.40ms, mfu 0.29%
iter 295: loss 2.4580, time 20.05ms, mfu 0.29%
iter 300: loss 2.4126, time 19.03ms, mfu 0.29%
iter 305: loss 2.4700, time 22.84ms, mfu 0.29%
iter 310: loss 2.4160, time 16.55ms, mfu 0.29%
iter 315: loss 2.4333, time 17.62ms, mfu 0.29%
iter 320: loss 2.4513, time 23.51ms, mfu 0.29%
iter 325: loss 2.4968, time 19.17ms, mfu 0.29%
iter 330: loss 2.4587, time 18.46ms, mfu 0.29%
iter 335: loss 2.3688, time 18.64ms, mfu 0.29%
iter 340: loss 2.4229, time 17.80ms, mfu 0.29%
iter 345: loss 2.3881, time 18.08ms, mfu 0.29%
iter 350: loss 2.4364, time 29.83ms, mfu 0.28%
iter 355: loss 2.4140, time 17.17ms, mfu 0.28%
iter 360: loss 2.3051, time 18.55ms, mfu 0.28%
iter 365: loss 2.4422, time 17.14ms, mfu 0.29%
iter 370: loss 2.3754, time 17.01ms, mfu 0.29%
iter 375: loss 2.3775, time 22.70ms, mfu 0.29%
iter 380: loss 2.3459, time 16.78ms, mfu 0.29%
iter 385: loss 2.3695, time 19.62ms, mfu 0.29%
iter 390: loss 2.3146, time 17.01ms, mfu 0.29%
iter 395: loss 2.3837, time 19.68ms, mfu 0.29%
iter 400: loss 2.3785, time 22.16ms, mfu 0.29%
iter 405: loss 2.3718, time 17.06ms, mfu 0.29%
iter 410: loss 2.3969, time 21.28ms, mfu 0.29%
iter 415: loss 2.3560, time 18.82ms, mfu 0.29%
iter 420: loss 2.3567, time 18.37ms, mfu 0.29%
